URL_ID,URL,POSIIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVERAGE_SENTENCE_LENGTH,PERCENTAGE_OF_COMPLEX_WORDS,FOG_INDEX,COMPLEX_WORD_COUNT,TOTAL_WORD_COUNT,SYLLABLE_PER_WORD,PERSONAL_PRONOUNS,AVERAGE_WORD_LENGTH
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,73,20,0.5698924669904036,0.0604288498632691,21.676056338028168,30.734243014944767,20.964119741189176,473,1539,2.0396361273554255,5,5.838856400259909
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,93,25,0.576271181557024,0.06462212482769872,21.738095238095237,28.368017524644028,20.04244510509571,518,1826,2.0470974808324205,4,5.6549835706462215
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,49,14,0.5555555467372135,0.08150064672509619,26.655172413793103,30.659767141009052,22.92597582192086,237,773,2.038809831824062,5,5.633893919793014
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,33,28,0.08196721177102932,0.050205761275550806,16.643835616438356,23.703703703703706,16.139015728056826,288,1215,1.8699588477366256,5,5.386831275720165
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,51,28,0.29113923682102233,0.05762217355388608,21.761904761904763,25.82056892778993,19.03298947587788,354,1371,1.911743253099927,9,5.549234135667396
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,51,28,0.29113923682102233,0.05762217355388608,21.761904761904763,25.82056892778993,19.03298947587788,354,1371,1.911743253099927,9,5.549234135667396
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,56,13,0.6231883967653856,0.054936305688744975,19.03030303030303,27.30891719745223,18.535688091102106,343,1256,1.964171974522293,7,5.603503184713376
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,50,11,0.6393442518140287,0.05139005892890475,24.224489795918366,27.88542544229149,20.843966095283943,331,1187,1.9561920808761584,3,5.596461668070766
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,77,7,0.8333333234126985,0.04479999997610666,18.939393939393938,25.333333333333336,17.70909090909091,475,1875,1.8448,7,5.3024
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,17,1,0.8888888395061756,0.025352112640349138,24.482758620689655,20.56338028169014,18.018455560951917,146,710,1.8267605633802817,3,5.276056338028169
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,36,47,-0.1325301188851793,0.06934001665050958,22.166666666666668,28.07017543859649,20.094736842105263,336,1197,1.9757727652464494,8,5.632414369256474
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,23,11,0.35294116608996573,0.05714285704681873,19.193548387096776,24.03361344537815,17.29086473298997,143,595,1.9176470588235295,8,5.35126050420168
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,49,16,0.507692299881657,0.04307488400061306,22.52238805970149,19.615639496355204,16.85521102242268,296,1509,1.8137839628893306,9,5.174950298210735
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,33,4,0.7837837626004389,0.05160390508841854,28.68,25.80195258019526,21.792781032078103,185,717,1.9344490934449095,3,5.482566248256624
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,31,12,0.44186045484045455,0.03729401557910319,38.43333333333333,16.99913269731136,22.172986412257877,196,1153,1.7224631396357328,8,4.930615784908933
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,37,15,0.42307691494082855,0.05058365753834274,22.844444444444445,23.73540856031128,18.63194120190229,244,1028,1.9027237354085602,4,5.383268482490273
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,46,27,0.2602739690373429,0.050871080103922585,26.09090909090909,17.700348432055748,17.516503009185936,254,1435,1.7365853658536585,29,4.864808362369338
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,46,26,0.27777777391975317,0.05867970655364327,28.53488372093023,24.69437652811736,21.29170409961904,303,1227,1.8793806030969846,12,5.400162999185004
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,87,35,0.42622950470303683,0.06301652889306997,24.2,26.084710743801654,20.113884297520663,505,1936,1.9411157024793388,3,5.62293388429752
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,79,38,0.3504273474322449,0.07372400751498172,18.892857142857142,17.265280403276623,14.463255018453507,274,1587,1.7069943289224954,9,4.932577189666037
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,81,37,0.3728813527721919,0.06289978674685512,21.078651685393258,25.74626865671642,18.729968136843873,483,1876,1.9093816631130065,5,5.449360341151386
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,86,28,0.5087719253616498,0.06514285710563265,18.229166666666668,19.085714285714285,14.925952380952381,334,1750,1.7674285714285713,20,4.958857142857143
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,73,26,0.47474746995204575,0.053484602888446996,22.85185185185185,20.475418692598595,17.330908217780177,379,1851,1.7936250675310643,18,5.122096164235549
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,63,24,0.44827585691636945,0.061484098896477664,23.583333333333332,19.646643109540637,17.291990577149587,278,1415,1.7780918727915194,23,5.1010600706713785
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,36,13,0.4693877455226991,0.054444444383950616,18.367346938775512,20.88888888888889,15.70249433106576,188,900,1.8277777777777777,9,5.285555555555556
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,52,14,0.5757575670339763,0.07432432424062577,22.2,19.707207207207208,16.762882882882884,175,888,1.7567567567567568,4,5.036036036036036
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,88,42,0.3538461511242604,0.056252704432603766,27.188235294117646,21.07312851579403,19.30454552396467,487,2311,1.7858070099524015,13,4.948074426655127
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,65,64,0.007751937924403582,0.06342182887737373,21.638297872340427,22.271386430678465,17.563873721207557,453,2034,1.8072763028515242,3,5.099803343166175
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,52,23,0.3866666615111112,0.055473372740034485,21.806451612903224,26.701183431952664,19.403054017942356,361,1352,1.944526627218935,12,5.517751479289941
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,50,30,0.24999999687500005,0.05801305289484187,16.223529411764705,21.972443799854968,15.27838928464787,303,1379,1.7969543147208122,8,5.122552574329224
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,77,25,0.5098039165705498,0.05632247374029681,27.861538461538462,18.056322473771395,18.367144374123946,327,1811,1.7101049144119271,34,4.891772501380453
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,82,23,0.5619047565532881,0.06154747944809643,20.070588235294117,21.688159437280188,16.70349906902972,370,1706,1.8194607268464245,13,5.168229777256741
blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,36,1,0.94594592037984,0.054331864824769656,26.192307692307693,28.781204111600587,21.989404721563314,196,681,2.0073421439060204,2,5.607929515418502
blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,108,40,0.4594594563550037,0.075126903515164,151.53846153846155,19.441624365482234,68.39203436157752,383,1970,1.7365482233502538,18,4.878172588832487
blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,35,1,0.9444444182098773,0.03870967737773153,18.6,25.6989247311828,17.71956989247312,239,930,1.881720430107527,2,5.30752688172043
blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,23,7,0.5333333155555561,0.03393665154532053,19.644444444444446,27.714932126696834,18.943750628456513,245,884,1.9592760180995474,3,5.588235294117647
blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,10,4,0.42857139795918586,0.03932584258616336,32.36363636363637,28.932584269662918,24.518488253319717,103,356,2.058988764044944,4,5.814606741573034
blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,43,69,-0.2321428550701531,0.07334643086224857,25.45,20.956123117223314,18.562449246889326,320,1527,1.8015717092337917,4,5.201702685003275
blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,29,15,0.3181818109504134,0.04983012451887868,26.757575757575758,22.989807474518685,19.898953292837778,203,883,1.8527746319365799,7,5.231030577576444
blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,79,38,0.3504273474322449,0.056768558924420884,18.07894736842105,18.583212032993693,14.664863760565897,383,2061,1.737506065016982,12,4.9209121785541
blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,60,4,0.8749999863281253,0.07872078711104455,19.829268292682926,24.600246002460025,17.77180571805718,200,813,1.9409594095940959,6,5.397293972939729
blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,16,2,0.7777777345679036,0.03278688518618054,27.45,22.768670309653917,20.08746812386157,125,549,1.9034608378870674,2,5.387978142076503
blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,35,9,0.5909090774793392,0.04471544710902902,25.23076923076923,21.341463414634145,18.62889305816135,210,984,1.7916666666666667,6,5.04979674796748
blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,22,9,0.4193548251821024,0.048513301958508136,26.625,28.482003129890455,22.042801251956185,182,639,2.001564945226917,3,5.503912363067292
blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,25,9,0.47058822145328766,0.06007067127195995,18.258064516129032,21.73144876325088,15.995805311751965,123,566,1.9434628975265018,2,5.522968197879859
blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,14,1,0.8666666088888928,0.04451038562459826,24.071428571428573,32.93768545994065,22.80364561254769,111,337,2.1869436201780417,3,5.973293768545994
blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,34,37,-0.04225352053164056,0.07107107099992886,16.65,17.61761761761762,13.707047047047048,176,999,1.7247247247247248,21,4.893893893893894
blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,18,3,0.7142856802721105,0.058171744991214004,25.785714285714285,24.37673130193906,20.06497823506134,88,361,2.0,3,5.570637119113574
blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,47,12,0.593220328928469,0.07023809515447846,24.0,27.142857142857142,20.457142857142856,228,840,1.9821428571428572,2,5.692857142857143
blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,10,8,0.11111110493827195,0.05405405389172957,37.0,23.423423423423422,24.16936936936937,78,333,1.906906906906907,6,5.498498498498498
blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,17,26,-0.20930232071389954,0.07651245537987107,21.615384615384617,20.640569395017792,16.90238160416096,116,562,1.8451957295373667,8,5.1263345195729535
blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,40,50,-0.11111110987654323,0.04721930742538336,24.435897435897434,24.60650577124869,19.61696128285845,469,1906,1.8588667366211962,17,5.368310598111227
blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,66,23,0.4831460619871229,0.04647519579818527,26.232876712328768,17.12793733681462,17.344325619657354,328,1915,1.7112271540469974,21,4.861618798955614
blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,56,26,0.36585365407495546,0.05166981723272223,18.67058823529412,18.90359168241966,15.029671967085513,300,1587,1.722117202268431,20,4.95526149968494
blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,34,8,0.6190476043083905,0.04054054050140874,15.696969696969697,18.91891891891892,13.846355446355446,196,1036,1.7046332046332047,3,4.811776061776062
blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,60,9,0.7391304240705736,0.042963885402886745,23.970149253731343,16.064757160647574,16.013962565751566,258,1606,1.6313823163138232,6,4.668742216687422
blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,44,7,0.7254901818531337,0.07786259530097314,32.75,23.969465648854964,22.687786259541987,157,655,1.833587786259542,10,5.094656488549618
blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,55,17,0.5277777704475309,0.04140310520908389,23.5,22.59919493962047,18.43967797584819,393,1739,1.838987924094307,10,5.172512938470385
blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,42,72,-0.26315789242843957,0.09677419346623582,14.54320987654321,17.572156196943972,12.846146429394873,207,1178,1.697792869269949,15,4.842105263157895
blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,73,23,0.5208333279079862,0.07100591710724413,16.289156626506024,15.680473372781064,12.787851999714835,212,1352,1.6538461538461537,7,4.8232248520710055
blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,30,34,-0.062499999023437516,0.054421768661205974,24.5,16.666666666666664,16.466666666666665,196,1176,1.695578231292517,7,5.039115646258503
blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,38,24,0.22580644797086374,0.04975922949457525,19.16923076923077,23.113964686998393,16.913278182491666,288,1246,1.882825040128411,11,5.341091492776886
blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,42,76,-0.288135590778512,0.09833333325138888,15.584415584415584,18.0,13.433766233766233,216,1200,1.7058333333333333,17,4.8675
blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,33,10,0.5348837084910766,0.05155875293578087,24.529411764705884,23.501199040767386,19.21224432218931,196,834,1.815347721822542,7,5.176258992805756
blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,17,7,0.41666664930555625,0.05042016796130217,31.733333333333334,24.789915966386555,22.609299719887957,118,476,1.9369747899159664,2,5.449579831932773
blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,34,17,0.33333332679738575,0.056983240159795265,30.862068965517242,23.687150837988828,21.81968792140243,212,895,1.9262569832402234,2,5.48268156424581
blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,32,29,0.049180327062617595,0.04656488546063749,21.475409836065573,22.442748091603054,17.567263171067452,294,1310,1.8465648854961831,8,5.4
blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,46,11,0.6140350769467531,0.01743652492583771,16.42713567839196,14.92811257265219,12.54209930041766,488,3269,1.682777607831141,4,5.090853472009789
blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,48,54,-0.05882352883506344,0.05359957958297447,21.873563218390803,19.863373620599052,16.694774735595942,378,1903,1.7766684182869155,14,5.06988964792433
blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,37,62,-0.25252524997449244,0.061224489758055355,25.265625,25.9121830550402,20.471123222016082,419,1617,1.922077922077922,2,5.557823129251701
blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,13,2,0.7333332844444478,0.046153846011834324,29.545454545454547,26.153846153846157,22.279720279720284,85,325,1.9846153846153847,4,5.544615384615384
blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,47,5,0.8076922921597637,0.05098039210688197,24.285714285714285,19.31372549019608,17.439775910364148,197,1020,1.7882352941176471,4,5.096078431372549
blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,55,34,0.23595505352859492,0.04474610354713619,16.04032258064516,18.753142282554048,13.917385945279683,373,1989,1.7033685268979386,8,4.97737556561086
blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,67,16,0.614457823922195,0.04515778017129609,19.347368421052632,20.184983677910772,15.81294083958536,371,1838,1.7442872687704025,7,5.0119695321001085
blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,46,34,0.14999999812500003,0.06504065035362548,24.11764705882353,20.243902439024392,17.74461979913917,249,1230,1.7528455284552846,5,5.1292682926829265
blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,25,45,-0.2857142816326531,0.03908431041927174,27.553846153846155,22.83640424343942,20.15610015891423,409,1791,1.8687883863763262,3,5.325516471245114
blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,26,43,-0.24637680802352452,0.06267029967059917,21.58823529411765,20.89009990917348,16.99133408131645,230,1101,1.8292461398728428,7,5.232515894641235
blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,50,48,0.020408163057059562,0.0705543556007528,18.038961038961038,19.726421886249103,15.106153170084056,274,1389,1.7523398128149748,39,4.996400287976962
blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,38,29,0.1343283562040544,0.053006329071988656,30.095238095238095,21.75632911392405,20.74062688366486,275,1264,1.8109177215189873,14,5.1479430379746836
blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,32,41,-0.12328766954400452,0.05581039751084831,22.16949152542373,23.01223241590214,18.072689576530347,301,1308,1.8631498470948011,6,5.364678899082569
blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,14,4,0.5555555246913597,0.04945054931469629,26.0,24.45054945054945,20.18021978021978,89,364,1.9258241758241759,4,5.414835164835165
blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,42,50,-0.08695652079395086,0.06959152793525603,19.73134328358209,19.062027231467475,15.517348206019825,252,1322,1.7239031770045385,15,4.984114977307111
blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,20,22,-0.0476190464852608,0.05577689235620599,19.307692307692307,22.709163346613543,16.80674226172234,171,753,1.8897742363877823,6,5.446215139442231
blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,38,58,-0.20833333116319447,0.07553107783199757,23.537037037037038,23.68214004720692,18.887670833697584,301,1271,1.8560188827694728,6,5.351691581431943
blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,40,36,0.052631578254847655,0.060461416021908174,29.928571428571427,16.388225934765313,18.526718945334697,206,1257,1.6706443914081146,9,4.881463802704853
blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,9,1,0.7999999200000081,0.030395136685729067,36.55555555555556,27.659574468085108,25.68605200945627,91,329,2.0395136778115504,2,5.872340425531915
blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,32,4,0.7777777561728402,0.05099150134420467,22.0625,20.96317280453258,17.21026912181303,148,706,1.841359773371105,6,5.162889518413598
blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,42,56,-0.14285714139941694,0.09099350037976461,31.676470588235293,21.541318477251625,21.28711562619477,232,1077,1.8254410399257195,5,5.2674094707520895
